Official division,Name type,Administrative area name,Administrative level,Description,Comment,Part of,MAEASaM ID,Geometry,resourceid
,Primary name,Shama,Level 2,,,,ADMIN-GHA-000000140,,7bc9ec86-43b2-4cef-a287-cea090a47b6b
,Primary name,Juabeso,Level 2,,,,ADMIN-GHA-000000139,,ad06210a-5d58-41fc-badf-1f0a7bc93666
,Primary name,Bodi,Level 2,,,,ADMIN-GHA-000000138,,114d7f5c-8859-42bb-8625-5815fcc45c81
,Primary name,Bia West,Level 2,,,,ADMIN-GHA-000000137,,059a9ebd-6e00-443b-a7a2-21d69b51224c
,Primary name,Bia East,Level 2,,,,ADMIN-GHA-000000136,,c6519a55-eeba-4780-8f44-0a3d49eba834
,Primary name,Suaman,Level 2,,,,ADMIN-GHA-000000135,,a6e2c4b6-bebb-4b87-9008-556b96136ca7
,Primary name,Aowin,Level 2,,,,ADMIN-GHA-000000134,,8d8cd0c3-dc62-463e-964c-cff764914a0c
,Primary name,La Dade Kotopon,Level 2,,,,ADMIN-GHA-000000133,,e26c5e2d-53be-4079-bbc1-b1ed374de022
,Primary name,Ningo Prampram,Level 2,,,,ADMIN-GHA-000000132,,26a527fc-580f-4c72-90fb-748a62db47fd
,Primary name,Ada West,Level 2,,,,ADMIN-GHA-000000131,,43470f1c-fc3e-43c4-98ae-e91d5fd1f2d2
,Primary name,Shai Osu Doku,Level 2,,,,ADMIN-GHA-000000130,,61faa527-8d51-4f83-be2a-807de01421fe
,Primary name,Ada East,Level 2,,,,ADMIN-GHA-000000129,,65ff14af-8edd-4c6f-85bf-5e18e811eec0
,Primary name,Asante Akim South,Level 2,,,,ADMIN-GHA-000000128,,5913b405-e6c8-44c2-bbab-2409e0c96267
,Primary name,Sunyani Municipal,Level 2,,,,ADMIN-GHA-000000127,,d82e866c-a06f-47e1-94c7-70bbc1f47d88
,Primary name,Tano South,Level 2,,,,ADMIN-GHA-000000126,,379fb00a-3d8a-4ba6-9c3d-63ed10d364ae
,Primary name,Wenchi,Level 2,,,,ADMIN-GHA-000000125,,9bd89e74-93d8-4e7a-b406-2cb2f608911b
,Primary name,Nanumba South,Level 2,,,,ADMIN-GHA-000000124,,c541d048-ab7d-4c79-a262-5b0b97ee9e3a
,Primary name,Nanumba North,Level 2,,,,ADMIN-GHA-000000123,,db63cb05-4723-457e-9d31-f49bfc7c3933
,Primary name,Gushiegu,Level 2,,,,ADMIN-GHA-000000122,,97149c83-976e-4bcf-b3a5-3c4b74784f74
,Primary name,Saboba,Level 2,,,,ADMIN-GHA-000000121,,20dcfbba-38e3-49fa-a5f0-3c9c53fc37e8
